Ping size: 0
PING 88.80.187.84 (88.80.187.84) 0(28) bytes of data.
[1621803322.916566] 8 bytes from 88.80.187.84: icmp_seq=1 ttl=51
[1621803323.917775] 8 bytes from 88.80.187.84: icmp_seq=2 ttl=51
[1621803324.918038] 8 bytes from 88.80.187.84: icmp_seq=3 ttl=51
[1621803325.917100] 8 bytes from 88.80.187.84: icmp_seq=4 ttl=51
[1621803326.917800] 8 bytes from 88.80.187.84: icmp_seq=5 ttl=51
[1621803327.918307] 8 bytes from 88.80.187.84: icmp_seq=6 ttl=51
[1621803328.919050] 8 bytes from 88.80.187.84: icmp_seq=7 ttl=51
[1621803329.920051] 8 bytes from 88.80.187.84: icmp_seq=8 ttl=51
[1621803330.919883] 8 bytes from 88.80.187.84: icmp_seq=9 ttl=51
[1621803331.921810] 8 bytes from 88.80.187.84: icmp_seq=10 ttl=51
[1621803332.923339] 8 bytes from 88.80.187.84: icmp_seq=11 ttl=51
[1621803333.923333] 8 bytes from 88.80.187.84: icmp_seq=12 ttl=51
[1621803334.924865] 8 bytes from 88.80.187.84: icmp_seq=13 ttl=51
[1621803335.924404] 8 bytes from 88.80.187.84: icmp_seq=14 ttl=51
[1621803336.925182] 8 bytes from 88.80.187.84: icmp_seq=15 ttl=51
[1621803337.926177] 8 bytes from 88.80.187.84: icmp_seq=16 ttl=51
[1621803338.926898] 8 bytes from 88.80.187.84: icmp_seq=17 ttl=51
[1621803339.928534] 8 bytes from 88.80.187.84: icmp_seq=18 ttl=51
[1621803340.928126] 8 bytes from 88.80.187.84: icmp_seq=19 ttl=51
[1621803341.928872] 8 bytes from 88.80.187.84: icmp_seq=20 ttl=51
[1621803342.929401] 8 bytes from 88.80.187.84: icmp_seq=21 ttl=51
[1621803343.929684] 8 bytes from 88.80.187.84: icmp_seq=22 ttl=51
[1621803344.929932] 8 bytes from 88.80.187.84: icmp_seq=23 ttl=51
[1621803345.929943] 8 bytes from 88.80.187.84: icmp_seq=24 ttl=51
[1621803346.931897] 8 bytes from 88.80.187.84: icmp_seq=25 ttl=51
[1621803347.933249] 8 bytes from 88.80.187.84: icmp_seq=26 ttl=51
[1621803348.933467] 8 bytes from 88.80.187.84: icmp_seq=27 ttl=51
[1621803349.933479] 8 bytes from 88.80.187.84: icmp_seq=28 ttl=51
[1621803350.933774] 8 bytes from 88.80.187.84: icmp_seq=29 ttl=51
[1621803351.933959] 8 bytes from 88.80.187.84: icmp_seq=30 ttl=51
[1621803352.935480] 8 bytes from 88.80.187.84: icmp_seq=31 ttl=51
[1621803353.935753] 8 bytes from 88.80.187.84: icmp_seq=32 ttl=51
[1621803354.936165] 8 bytes from 88.80.187.84: icmp_seq=33 ttl=51
[1621803355.935776] 8 bytes from 88.80.187.84: icmp_seq=34 ttl=51
[1621803356.937195] 8 bytes from 88.80.187.84: icmp_seq=35 ttl=51
[1621803357.937031] 8 bytes from 88.80.187.84: icmp_seq=36 ttl=51
[1621803358.937986] 8 bytes from 88.80.187.84: icmp_seq=37 ttl=51
[1621803359.938508] 8 bytes from 88.80.187.84: icmp_seq=38 ttl=51
[1621803360.939173] 8 bytes from 88.80.187.84: icmp_seq=39 ttl=51
[1621803361.939569] 8 bytes from 88.80.187.84: icmp_seq=40 ttl=51
[1621803362.941808] 8 bytes from 88.80.187.84: icmp_seq=41 ttl=51
[1621803363.942568] 8 bytes from 88.80.187.84: icmp_seq=42 ttl=51
[1621803364.944100] 8 bytes from 88.80.187.84: icmp_seq=43 ttl=51
[1621803365.945148] 8 bytes from 88.80.187.84: icmp_seq=44 ttl=51
[1621803366.948602] 8 bytes from 88.80.187.84: icmp_seq=45 ttl=51
[1621803367.949061] 8 bytes from 88.80.187.84: icmp_seq=46 ttl=51
[1621803368.951310] 8 bytes from 88.80.187.84: icmp_seq=47 ttl=51
